지역,메뉴,단가,수량,매출
대전,바닐라라떼,4000,5,20000
광주,바닐라라떼,6000,3,18000
서울,아메리카노,5000,3,15000
대전,아메리카노,5500,1,5500
대전,카페라떼,4000,4,16000
광주,아메리카노,5500,4,22000
서울,바닐라라떼,6000,5,30000
서울,바닐라라떼,6000,1,6000
대전,아메리카노,4000,3,12000
부산,바닐라라떼,5000,4,20000
대전,바닐라라떼,4500,1,4500
대전,아메리카노,4000,4,16000
대전,아메리카노,4500,4,18000
대전,바닐라라떼,4500,3,13500
광주,바닐라라떼,5000,2,10000
서울,바닐라라떼,4500,5,22500
광주,카페라떼,4500,5,22500
광주,카페라떼,5000,3,15000
광주,카페라떼,4500,4,18000
대전,아메리카노,4500,1,4500
부산,카페라떼,4500,4,18000
서울,아메리카노,4000,3,12000
부산,아메리카노,4000,5,20000
광주,카페라떼,4000,4,16000
광주,카페라떼,5000,5,25000
부산,카페라떼,6000,1,6000
부산,바닐라라떼,4500,5,22500
부산,카페라떼,4500,5,22500
광주,바닐라라떼,5000,2,10000
광주,아메리카노,4500,2,9000
서울,바닐라라떼,4000,2,8000
서울,카페라떼,6000,5,30000
광주,아메리카노,5500,3,16500
부산,아메리카노,4500,5,22500
부산,아메리카노,4000,3,12000
서울,바닐라라떼,5500,3,16500
광주,카페라떼,6000,2,12000
서울,아메리카노,5500,4,22000
서울,아메리카노,4000,1,4000
대전,아메리카노,5500,2,11000
대전,바닐라라떼,5000,2,10000
대전,바닐라라떼,5500,4,22000
부산,카페라떼,4500,1,4500
광주,바닐라라떼,4500,5,22500
광주,아메리카노,5000,5,25000
광주,카페라떼,4000,2,8000
광주,아메리카노,4500,1,4500
대전,아메리카노,6000,2,12000
부산,바닐라라떼,4500,3,13500
부산,카페라떼,4500,2,9000
대전,바닐라라떼,4000,2,8000
부산,바닐라라떼,5500,5,27500
대전,카페라떼,4500,5,22500
광주,아메리카노,5000,5,25000
대전,아메리카노,5500,3,16500
광주,카페라떼,6000,5,30000
광주,아메리카노,4000,1,4000
서울,카페라떼,6000,4,24000
대전,카페라떼,5500,1,5500
서울,바닐라라떼,5500,1,5500
대전,카페라떼,5500,5,27500
대전,바닐라라떼,6000,4,24000
서울,아메리카노,5500,4,22000
서울,아메리카노,6000,4,24000
대전,아메리카노,5500,3,16500
부산,아메리카노,5000,5,25000
광주,바닐라라떼,5500,4,22000
서울,아메리카노,6000,3,18000
광주,카페라떼,4500,2,9000
부산,카페라떼,5500,2,11000
부산,카페라떼,4500,3,13500
부산,바닐라라떼,5000,3,15000
서울,아메리카노,4000,5,20000
부산,아메리카노,5000,5,25000
서울,아메리카노,5500,2,11000
부산,바닐라라떼,4500,4,18000
광주,카페라떼,4500,2,9000
광주,카페라떼,6000,4,24000
대전,아메리카노,4500,4,18000
광주,카페라떼,6000,5,30000
대전,카페라떼,4000,1,4000
광주,바닐라라떼,5500,1,5500
서울,바닐라라떼,6000,3,18000
광주,바닐라라떼,4000,5,20000
대전,바닐라라떼,4500,4,18000
대전,아메리카노,4500,1,4500
부산,바닐라라떼,4000,4,16000
서울,카페라떼,4500,1,4500
광주,아메리카노,4000,1,4000
부산,카페라떼,6000,1,6000
광주,카페라떼,6000,5,30000
광주,카페라떼,4000,2,8000
부산,바닐라라떼,6000,4,24000
부산,바닐라라떼,6000,5,30000
부산,아메리카노,6000,5,30000
부산,아메리카노,5000,5,25000
부산,바닐라라떼,5500,5,27500
광주,카페라떼,4500,5,22500
부산,아메리카노,5000,3,15000
서울,바닐라라떼,6000,4,24000
대전,바닐라라떼,4000,5,20000
부산,바닐라라떼,6000,4,24000
부산,카페라떼,5500,3,16500
광주,바닐라라떼,6000,3,18000
부산,바닐라라떼,4000,4,16000
부산,바닐라라떼,5500,1,5500
부산,바닐라라떼,6000,2,12000
광주,아메리카노,5500,1,5500
부산,아메리카노,4500,1,4500
대전,바닐라라떼,4500,1,4500
광주,카페라떼,6000,5,30000
대전,아메리카노,5500,3,16500
광주,바닐라라떼,4000,1,4000
부산,아메리카노,6000,3,18000
대전,아메리카노,4500,4,18000
광주,카페라떼,4500,2,9000
서울,바닐라라떼,6000,4,24000
부산,바닐라라떼,5500,4,22000
광주,카페라떼,4500,5,22500
서울,카페라떼,5500,2,11000
광주,바닐라라떼,4500,4,18000
서울,바닐라라떼,4500,4,18000
부산,카페라떼,5000,2,10000
대전,아메리카노,4500,2,9000
서울,아메리카노,4000,4,16000
광주,카페라떼,6000,2,12000
부산,아메리카노,6000,4,24000
서울,카페라떼,5500,4,22000
광주,아메리카노,4500,5,22500
광주,아메리카노,4000,1,4000
광주,바닐라라떼,5500,4,22000
서울,바닐라라떼,5000,3,15000
서울,아메리카노,5500,1,5500
서울,아메리카노,5500,1,5500
대전,바닐라라떼,4500,1,4500
서울,바닐라라떼,5000,5,25000
서울,바닐라라떼,5500,4,22000
서울,카페라떼,4000,5,20000
대전,아메리카노,4000,4,16000
서울,바닐라라떼,6000,5,30000
광주,아메리카노,5000,5,25000
서울,카페라떼,5000,3,15000
광주,카페라떼,6000,5,30000
광주,바닐라라떼,5500,2,11000
광주,카페라떼,5000,3,15000
대전,아메리카노,4000,5,20000
대전,바닐라라떼,4000,1,4000
대전,아메리카노,4500,2,9000
서울,아메리카노,5000,2,10000
광주,카페라떼,5500,2,11000
대전,카페라떼,6000,3,18000
대전,카페라떼,6000,5,30000
서울,카페라떼,5500,5,27500
대전,카페라떼,4500,1,4500
서울,바닐라라떼,6000,1,6000
부산,아메리카노,5000,2,10000
대전,아메리카노,4500,1,4500
부산,아메리카노,5000,3,15000
서울,아메리카노,4000,5,20000
광주,카페라떼,4500,2,9000
대전,아메리카노,6000,1,6000
서울,바닐라라떼,4500,3,13500
광주,바닐라라떼,4500,3,13500
광주,아메리카노,4500,1,4500
부산,아메리카노,4500,5,22500
서울,바닐라라떼,5000,1,5000
광주,바닐라라떼,4000,2,8000
대전,카페라떼,5500,1,5500
대전,바닐라라떼,4500,3,13500
부산,카페라떼,6000,1,6000
광주,카페라떼,4500,5,22500
서울,카페라떼,6000,4,24000
대전,카페라떼,5000,1,5000
광주,카페라떼,6000,5,30000
광주,아메리카노,5500,5,27500
부산,바닐라라떼,4000,3,12000
대전,카페라떼,6000,5,30000
대전,바닐라라떼,6000,5,30000
서울,바닐라라떼,4000,5,20000
대전,카페라떼,5500,5,27500
서울,아메리카노,4500,2,9000
대전,카페라떼,6000,2,12000
부산,아메리카노,4000,3,12000
대전,바닐라라떼,5000,1,5000
서울,아메리카노,4000,5,20000
서울,아메리카노,5000,1,5000
부산,아메리카노,5500,1,5500
